tempo,classe,triplas
0.36713218688964844,Acórdão,100
1.85866379737854,Agente,100
1.1928093433380127,Arma,100
0.137192964553833,Arquivo,100
0.3961813449859619,Ativa,100
0.29061365127563477,Atividade Econômica,100
0.16554737091064453,Bairro,100
0.23308420181274414,Baixa de Ofício,100
0.27060365676879883,Baixada,100
1.6719231605529785,CEP do Logradouro,100
0.7741787433624268,Cancelada,100
0.1424398422241211,Caso da consistência,93
0.12009382247924805,Caso da similaridade,100
1.324718952178955,Cidade | Município,100
0.17397785186767578,Classe CNAE,100
1200.1011164188385,Combustível,-1
0.19078779220581055,Compra Pública,100
0.06075429916381836,Conceito,0
0.12732291221618652,Consumidor,100
1.0507078170776367,Contador,100
3.0508179664611816,Contribuinte,100
2.2211356163024902,Contribuinte  Contribuinte SIMEI,100
3.9269180297851562,Contribuinte  Isento,100
0.11979913711547852,Contribuinte Extra Cadastro,6
2.116469621658325,Contribuinte Geral,100
0.8137061595916748,Contribuinte ICMS,100
0.11344170570373535,Contribuinte IPVA,100
14.193189144134521,Contribuinte Normal,100
0.2719075679779053,Contribuinte Substituto Tributário,100
2.0141170024871826,Contribuinte do Simples Nacional,100
0.27834486961364746,Divisão CNAE,100
1.6544175148010254,Documento,100
0.23914146423339844,Documento Suplementar,100
0.5204606056213379,Emancipado,100
0.32364320755004883,Empresa Holding,100
4.574191093444824,Empresa | Organização | Pessoa Jurídica,100
1.5386462211608887,Empresa | Organização | Pessoa Jurídica REDESIM,100
0.22582769393920898,Empresa | Organização | Pessoa Jurídica RFB,100
0.661308765411377,Empresa | Organização | Pessoa Jurídica SEFAZ,100
0.934654712677002,Endereço,100
0.13540863990783691,Endereço C115,100
0.17059063911437988,Endereço C115 Comunicação,100
0.17136216163635254,Endereço C115 Energia,100
0.38599395751953125,Endereço C115 Telecomunicação,100
0.1986830234527588,Endereço Cadastro da SEFAZ,100
0.18399786949157715,Endereço NFE,100
3.305351972579956,Endereço REDESIM,100
0.17742681503295898,Endereço RFB,100
0.1298227310180664,Ente Público,100
0.496685266494751,Entidade Integrada,39
0.690596342086792,Estabelecimento,100
0.1732807159423828,Estabelecimento REDESIM,100
0.20124030113220215,Estabelecimento RFB,100
0.28856444358825684,Estabelecimento SEFAZ,100
0.11764955520629883,Evento Desabilitado,100
0.12905049324035645,Excluso / Removido do SIMPLES,100
