tempo,classe,propriedade,triplas
0.07785797119140625,Acórdão,data final,0
0.13854479789733887,Agente,name,100
0.07605552673339844,Agente,nome,100
0.6826460361480713,Agente,tem solicitação,0
0.3572087287902832,Agente,tem tipo de contribuição,100
0.44763875007629395,Agente,cnpj cpf,100
0.07222366333007812,Agente,cpf ou cnpj,0
0.06872773170471191,Agente,identificador de uma pessoa,0
0.06775712966918945,Agente,É um estrangeiro?,0
0.0718986988067627,Agente,número de contato,0
0.06719231605529785,Agente,contact number,0
0.06775212287902832,Agente,número de fax,0
0.08141136169433594,Agente,phone number,0
0.07287740707397461,Agente,número de telefone,0
0.06838107109069824,Agente,telefone1,0
0.07322239875793457,Agente,telefone2,0
0.11627650260925293,Agente,e-mail,100
0.2132127285003662,Arma,código da arma,100
0.2308800220489502,Arma,descrição completa,100
0.14395713806152344,Arma,número do cano,100
0.15542173385620117,Arma,número de série,100
0.1439204216003418,Arma,tipo de arma,100
0.07881784439086914,Arquivo,tem status envio,0
0.09917879104614258,Arquivo,categoria,100
0.09618091583251953,Arquivo,data do arquivo,100
0.09523224830627441,Arquivo,data de desmembramento,100
0.09032773971557617,Arquivo,data de geração do arquivo,0
0.10068106651306152,Arquivo,data de processamento,100
0.09186887741088867,Arquivo,data de recepção,100
0.09003591537475586,Arquivo,hash,100
0.08832979202270508,Arquivo,inscrição,100
0.3963181972503662,Arquivo,nome arquivo,0
0.07959175109863281,Arquivo,protocolo,0
0.08184027671813965,Arquivo,protocolo dbe,100
0.07815432548522949,Arquivo,versão do arquivo,100
9.992711305618286,Ativa,tem razão de situação cadastral,1
0.14211702346801758,Ativa,data situação cadastral,100
0.1332859992980957,Ativa,data da situação cadastral,100
9.004408597946167,Ativa,idêntico / igual / mesmo que / sameAs,100
0.31494641304016113,Atividade Econômica,descrição da atividade econômica,100
0.22679567337036133,Atividade Econômica,mais geral,100
0.10785746574401855,Atividade Econômica,mais específico,0
0.6934397220611572,Atividade Econômica,CNAE,100
0.7649357318878174,Atividade Econômica,Classificação Nacional de Atividades Econômicas,100
0.6982150077819824,Atividade Econômica,CNAE Completo,100
0.5107192993164062,Atividade Econômica,CNAE Formatado,100
0.07125043869018555,Atividade Econômica,idêntico / igual / mesmo que / sameAs,0
0.6324682235717773,Bairro,tem cidade,100
0.11378765106201172,Bairro,bairro,100
0.10486149787902832,Bairro,e parte de,0
0.07042813301086426,Bairro,tem parte,0
0.07165336608886719,Bairro,latitude,0
0.07269978523254395,Bairro,longitude,0
0.10545659065246582,Bairro,idêntico / igual / mesmo que / sameAs,0
0.15198612213134766,Baixa de Ofício,tem razão de situação cadastral,0
0.15151214599609375,Baixa de Ofício,data situação cadastral,100
0.10268521308898926,Baixa de Ofício,data da situação cadastral,100
5.5389885902404785,Baixa de Ofício,idêntico / igual / mesmo que / sameAs,0
0.13009381294250488,Baixada,tem razão de situação cadastral,100
0.13236784934997559,Baixada,data situação cadastral,100
0.07560300827026367,Baixada,data da situação cadastral,100
0.09726667404174805,Baixada,idêntico / igual / mesmo que / sameAs,100
0.7711906433105469,CEP do Logradouro,complemento,100
0.5260679721832275,CEP do Logradouro,complemento do endereço,100
1.4393565654754639,CEP do Logradouro,latitude,100
1.504765272140503,CEP do Logradouro,longitude,100
0.06543803215026855,CEP do Logradouro,latitude,0
0.07301187515258789,CEP do Logradouro,longitude,0
0.06770753860473633,CEP do Logradouro,idêntico / igual / mesmo que / sameAs,0
0.13915419578552246,Cancelada,tem razão de situação cadastral,0
0.09244227409362793,Cancelada,data situação cadastral,100
0.08137249946594238,Cancelada,data da situação cadastral,100
0.09298038482666016,Cancelada,idêntico / igual / mesmo que / sameAs,0
0.1345200538635254,Caso da consistência,grau de consistência,17
0.5567054748535156,Cidade | Município,tem estado | tem unidade federativa,100
0.49419212341308594,Cidade | Município,cep,100
0.49444127082824707,Cidade | Município,cidade,100
0.4648854732513428,Cidade | Município,cidade,100
0.5457761287689209,Cidade | Município,código da cidade,100
0.4677720069885254,Cidade | Município,código do município,100
0.39838194847106934,Cidade | Município,código ibge,100
0.06525659561157227,Cidade | Município,e parte de,0
0.07022476196289062,Cidade | Município,latitude,0
0.07215166091918945,Cidade | Município,longitude,0
0.11878323554992676,Cidade | Município,idêntico / igual / mesmo que / sameAs,0
0.16217732429504395,Classe CNAE,CNAE,100
0.13730072975158691,Classe CNAE,Classificação Nacional de Atividades Econômicas,100
0.1131904125213623,Classe CNAE,descrição da atividade econômica,100
0.06583905220031738,Classe CNAE,idêntico / igual / mesmo que / sameAs,0
0.22765588760375977,Combustível,tem uf de consumo,100
0.16497206687927246,Combustível,código de autorização,100
0.22894763946533203,Combustível,código do combustível,100
0.2264692783355713,Combustível,código do produto anp,100
7.607415676116943,Combustível,descrição anp,100
8.798053503036499,Combustível,percentual de gás importado,100
7.998369932174683,Combustível,percentual de gás natural,100
8.853740692138672,Combustível,percentual de glp,100
0.26226329803466797,Combustível,quantidade de combustível faturada,100
8.085068464279175,Combustível,valor de partida,100
0.1790909767150879,Compra Pública,tem ente público,100
0.07496905326843262,Compra Pública,tem fornecedor,100
0.06471920013427734,Compra Pública,tem item,0
0.11478638648986816,Compra Pública,contrato,100
0.07344818115234375,Compra Pública,nota de empenho,100
0.07893133163452148,Compra Pública,número de pedido,100
0.06467223167419434,Compra Pública,idêntico / igual / mesmo que / sameAs,0
0.06904220581054688,Consumidor,tem endereço,0
0.12078428268432617,Consumidor,CNPJ,100
0.06760358810424805,Consumidor,cnpj,100
0.0733025074005127,Consumidor,CPF,100
0.1457233428955078,Consumidor,inscrição estadual,100
0.0644845962524414,Contador,classificação crc,0
1.066227912902832,Contador,CPF,100
0.07007598876953125,Contador,crc data de registro,0
0.12176680564880371,Contador,é contador,100
0.06956839561462402,Contador,código da qualificação,0
0.06867790222167969,Contribuinte,tem fonte cadastro,0
